requested_scheme_code,requested_scheme_name,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date,nav,fetched_at_utc,source_url
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-22,204.1263,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-19,202.0761,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-18,200.9565,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-17,199.8302,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-16,198.6152,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-15,198.032,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-12,196.5577,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-11,192.6722,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-10,193.4371,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
125497,HDFC Top 100 Direct,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-09,194.3813,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/125497
