requested_scheme_code,requested_scheme_name,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date,nav,fetched_at_utc,source_url
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-22,101.3654,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-19,100.7824,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-18,100.9901,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-17,100.604,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-16,100.0048,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-15,99.3506,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-12,98.1776,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-11,96.1712,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-10,96.5862,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
118632,Nippon Large Cap,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-09,96.6849,2026-06-23T05:29:58.847318+00:00,https://api.mfapi.in/mf/118632
